video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
gDqZCtkbJ0w,"2nd Grade Math 2.7, Different Forms of Numbers, Digits, Number Names, Expanded Form",JoAnn's_School,Year 2_6-7_Autumn__Place value_6_Write numbers to 100 in words,Write numbers to 100 in words,current_3,embedding_disabled,public,False,processed,"2nd Grade Math 2.7, Different Forms of Numbers, Digits, Number Names, Expanded Form"
cL4_iHavEPs,Expanded Form   1 More & 1 Less,susan_dyson,Year 2_6-7_Autumn__Place value_8_Write numbers to 100 in expanded form,Write numbers to 100 in expanded form,current_2,embedding_disabled,public,False,processed,Expanded Form   1 More & 1 Less
LCmZoDhp9g8,"Kindergarten Math 9.6, Describe Triangles",JoAnn's_School,Year 2_6-7_Autumn__Shape_3_Count vertices on 2-D shapes,Count vertices on 2-D shapes,current_3,embedding_disabled,public,False,processed,"Kindergarten Math 9.6, Describe Triangles"
SPnIINMnj5Y,"Kindergarten Math 10.7, Model Shapes",JoAnn's_School,Year 2_6-7_Autumn__Shape_4_Draw 2-D shapes,Draw 2-D shapes,current_1,embedding_disabled,public,False,processed,"Kindergarten Math 10.7, Model Shapes"
SyqSh5IwxkM,"Grade 1 Math 12.2, Describe two-dimensional shapes  (attributes)",JoAnn's_School,Year 2_6-7_Autumn__Shape_7_Sort 2-D shapes,Sort 2-D shapes,current_3,embedding_disabled,public,False,processed,"Grade 1 Math 12.2, Describe two-dimensional shapes  (attributes)"
UQ62SftjiyU,"Kindergarten Math 11.1, Compare Lengths",JoAnn's_School,Year 2_6-7_Spring__Length and height_3_Compare lengths and heights,Compare lengths and heights,current_3,embedding_disabled,public,False,processed,"Kindergarten Math 11.1, Compare Lengths"
cSx2oYYVy7Q,Skip Counting by 5 | Multiplication Fundamentals | Teacher Ira,Teacher_Ira,Year 2_6-7_Spring__Multiplication and division_15_The 5 times-table,The 5 times-table,current_1,embedding_disabled,public,False,processed,Skip Counting by 5 | Multiplication Fundamentals | Teacher Ira
Yscd1EVN3GI,"Grade 1 Math 12.8, Equal or unequal parts",JoAnn's_School,Year 2_6-7_Summer__Fractions_2_Equal and unequal parts,Equal and unequal parts,current_2,embedding_disabled,public,False,processed,"Grade 1 Math 12.8, Equal or unequal parts"
XMy0guvTNXI,"Grade 1 Math 10.5, Read Tally Charts",JoAnn's_School,Year 2_6-7_Summer__Statistics_1_Make tally charts,Make tally charts,current_2,embedding_disabled,public,False,processed,"Grade 1 Math 10.5, Read Tally Charts"
O0J1sYEt5qQ,"Grade 2 Math 7.3 (7.8 Go Math!), Time to the hour & half-hour",JoAnn's_School,Year 2_6-7_Summer__Time_7_Hours in a day,Hours in a day,current_3,embedding_disabled,public,False,processed,"Grade 2 Math 7.3 (7.8 Go Math!), Time to the hour & half-hour"
v3hpKkWpDlg,"2nd Grade Math 2.9, Count On and Back by 10 and 100",JoAnn's_School,Year 3_7-8_Autumn__Addition and subtraction_10_Make connections,Make connections,current_1,embedding_disabled,public,False,processed,"2nd Grade Math 2.9, Count On and Back by 10 and 100"
84iFm_uOhpc,"2nd Grade Math 6.3, 3-digit Addition, Regroup Ones",JoAnn's_School,Year 3_7-8_Autumn__Addition and subtraction_6_Add 1s across a 10,Add 1s across a 10,current_1,embedding_disabled,public,False,processed,"2nd Grade Math 6.3, 3-digit Addition, Regroup Ones"
I21Bf3z5h4g,"2nd Grade Math 6.5, 3-digit Addition, Regroup Ones and Tens",JoAnn's_School,Year 3_7-8_Autumn__Addition and subtraction_6_Add 1s across a 10,Add 1s across a 10,current_2,embedding_disabled,public,False,processed,"2nd Grade Math 6.5, 3-digit Addition, Regroup Ones and Tens"
RE5Bn8yq8J8,"2nd Grade Math 2.1, Group Tens as Hundreds",JoAnn's_School,Year 3_7-8_Autumn__Place value_4_Hundreds,Hundreds,current_2,embedding_disabled,public,False,processed,"2nd Grade Math 2.1, Group Tens as Hundreds"
OlAapWjpbZc,"2nd Grade Math 2.4, Hundreds, Tens, Ones. Writing 3-digits from base-ten blocks.",JoAnn's_School,"Year 3_7-8_Autumn__Place value_8_Hundreds, tens and ones","Hundreds, tens and ones",current_1,embedding_disabled,public,False,processed,"2nd Grade Math 2.4, Hundreds, Tens, Ones. Writing 3-digits from base-ten blocks."
gMr9OoLdMow,"2nd Grade Math 2.3, Model 3-Digit Numbers",JoAnn's_School,"Year 3_7-8_Autumn__Place value_8_Hundreds, tens and ones","Hundreds, tens and ones",current_2,embedding_disabled,public,False,processed,"2nd Grade Math 2.3, Model 3-Digit Numbers"
r4iZK2WBV3s,"Grade 1 Math 10.4, Make Bar Graphs",JoAnn's_School,Year 3_7-8_Summer__Statistics_4_Draw bar charts,Draw bar charts,current_2,embedding_disabled,public,False,processed,"Grade 1 Math 10.4, Make Bar Graphs"
