row_index,small_step_num,year,term,difficulty,block,small_step_num_in_topic,old_small_step_name,new_small_step_name
1416,1417,Year 10,Summer,Foundation,4,7,""""" Solve problems with vectors (E)",Solve problems with vectors (E)
1417,1418,Year 10,Summer,Foundation,5,1,""""" Factors, multiples and primes","Factors, multiples and primes"
1418,1419,Year 10,Summer,Foundation,5,2,""""" Prime factorisation",Prime factorisation
1419,1420,Year 10,Summer,Foundation,5,3,""""" HCF and LCM",HCF and LCM
1420,1421,Year 10,Summer,Foundation,5,4,""""" Square and cube numbers",Square and cube numbers
1421,1422,Year 10,Summer,Foundation,5,5,""""" Powers and roots",Powers and roots
1422,1423,Year 10,Summer,Foundation,5,6,""""" Negative indices",Negative indices
1423,1424,Year 10,Summer,Foundation,5,7,""""" Irrational numbers and surds",Irrational numbers and surds
1424,1425,Year 10,Summer,Foundation,5,8,""""" Simplify expressions with surds (E)",Simplify expressions with surds (E)
1425,1426,Year 10,Summer,Foundation,5,9,""""" Expand brackets with surds (E)",Expand brackets with surds (E)
1426,1427,Year 10,Summer,Foundation,6,1,""""" Pythagoras’ theorem (find the hypotenuse)",Pythagoras’ theorem (find the hypotenuse)
1427,1428,Year 10,Summer,Foundation,6,2,""""" Pythagoras’ theorem (find any side)​",Pythagoras’ theorem (find any side)​
1428,1429,Year 10,Summer,Foundation,6,3,""""" Identify hypotenuse, opposite and adjacent sides​","Identify hypotenuse, opposite and adjacent sides​"
1429,1430,Year 10,Summer,Foundation,6,4,""""" Ratios in right-angled triangles",Ratios in right-angled triangles
1430,1431,Year 10,Summer,Foundation,6,5,""""" Use the tangent ratio to find an unknown side length",Use the tangent ratio to find an unknown side length
1431,1432,Year 10,Summer,Foundation,6,6,""""" Use the sine and cosine ratio to find an unknown side length",Use the sine and cosine ratio to find an unknown side length
1432,1433,Year 10,Summer,Foundation,6,7,""""" Use trigonometric ratios to find an unknown side length",Use trigonometric ratios to find an unknown side length
1433,1434,Year 10,Summer,Foundation,6,8,""""" Use trigonometric ratios to find an unknown angle",Use trigonometric ratios to find an unknown angle
1434,1435,Year 10,Summer,Foundation,6,9,""""" Exact trigonometric values (E)",Exact trigonometric values (E)
1435,1436,Year 10,Summer,Foundation,7,1,""""" Use one value to find another",Use one value to find another
1436,1437,Year 10,Summer,Foundation,7,2,""""" Introduction to simultaneous equations",Introduction to simultaneous equations
1437,1438,Year 10,Summer,Foundation,7,3,""""" Solve simultaneous equations​ using graphs",Solve simultaneous equations​ using graphs
1438,1439,Year 10,Summer,Foundation,7,4,""""" Solve simultaneous equations (no adjustments)",Solve simultaneous equations (no adjustments)
1439,1440,Year 10,Summer,Foundation,7,5,""""" Manipulating equations",Manipulating equations
1440,1441,Year 10,Summer,Foundation,7,6,""""" Solve simultaneous equations (adjust one)",Solve simultaneous equations (adjust one)
1441,1442,Year 10,Summer,Foundation,7,7,""""" Solve simultaneous equations (adjust both) (E)",Solve simultaneous equations (adjust both) (E)
1442,1443,Year 10,Summer,Foundation,7,8,""""" Solve simultaneous equations by substitution (E)",Solve simultaneous equations by substitution (E)
