unique_row,year,age,term,difficulty,block,macro_topic,topic,small_step_num,small_step_num_in_topic,small_step_name,ss_wr_desc,ss_desc,small_step_id,small_step_key,year_order,term_order,topic_order,source_row_index,legacy_step_position
Year7SummerAddandsubtractfractions,Year 7,11-12,Summer,,2,Add and subtract fractions,Add and subtract fractions,882,10,Substitution and solving equations with fractions (E),"In this extend step, students apply their knowledge of adding and subtracting algebraic fractions within algebraic contexts, including substitution and solving equations. Start by focusing on substituting values into a range of algebraic fractional expressions. It may be helpful to revisit substitution in expressions without fractions before extending to those that include them. Similarly, when solving equations, recap methods for one- and two-step equations before introducing fractional terms, to support understanding. Where appropriate, provide additional challenge by including fractions greater than 1 in substitution problems or equations. Misconceptions and common errors • Students may apply the incorrect inverse operation when solving equations. • Students may make errors when substituting into expressions with powers, for example treating p2 as “double p” instead of squaring the value of p. Year 7 | Summer term | Block 3 – Add and subtract fractions | Step 10 National Curriculum links • Use the four operations, including formal written methods, applied to integers, decimals, proper and improper fractions, and mixed numbers, all both positive and negative • Substitute numerical values into formulae and expressions, including scientific formulae • Use algebraic methods to solve linear equations in one variable (including all forms that require rearrangement) Mathematical talk • What is the value of the expression if x = ? • Is it possible to substitute fractions into algebraic expressions? Explain your answer. • What is the inverse of ? • What is a possible first step to solving the equation? • What calculation is equivalent to x2? • Can you collect any like terms before beginning to solve the equation? Explain your answer. • Can the value of an unknown be both negative and fractional? Explain your answer. E",,Year 7_11-12_Summer__Add and subtract fractions_10_Substitution and solving equations with fractions (E),year-7__11-12__summer__blank__add-and-subtract-fractions__10__substitution-and-solving-equations-with-fractions-e,7,3,3,124,10
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,883,1,Draw and measure lines and angles,"In this small step, students develop the practical skills of drawing and measuring line segments and angles accurately, building on understanding from Key Stage 2 Recap the correct use of a ruler for drawing and measuring line segments before introducing the protractor as the tool for measuring and drawing angles. Ensure that students know how to align the baseline and select the correct scale, modelling these skills clearly. Emphasise that an angle is a measure of turn. Provide questions where students both draw given angles and measure angles already drawn. Encourage them to estimate before measuring in order to develop a sense of size. Everyday contexts, such as design or navigation, help to show why accuracy matters. Misconceptions and common errors • Students may misalign the protractor baseline with the line segment, leading to inaccurate measurements. • The term “line segment” may be unfamiliar and students may not realise that a line is infinite in length. • Students may read from the wrong scale on the protractor, for example 140° instead of 40°. • Students may misalign the ruler by not positioning the beginning of a line segment at zero. Year 7 | Summer term | Block 4 – Angles and polygons | Step 1 Mathematical talk • What is the difference between a line and a line segment? • When measuring a line segment, what happens if you do not start from zero on the ruler? • How can you measure the size of a turn? • How can you describe the direction of a turn? • How can you check that your protractor is lined up correctly before measuring? • Which scale should you read from the protractor? What strategies can you use to make sure that you are using the correct protractor scale? • Is the angle acute, right, obtuse or reflex? Explain how you know without measuring. • How would you use a protractor to measure an angle greater than 180°? National Curriculum links • Draw and measure line segments and angles in geometric figures, including interpreting scale drawings",Updated May 2026,Year 7_11-12_Summer__Angles and polygons_1_Draw and measure lines and angles,year-7__11-12__summer__blank__angles-and-polygons__1__draw-and-measure-lines-and-angles,7,3,4,125,1
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,884,2,Understand and use geometric notation,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_2_Understand and use geometric notation,year-7__11-12__summer__blank__angles-and-polygons__2__understand-and-use-geometric-notation,7,3,4,125,2
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,885,3,Angles around a point,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_3_Angles around a point,year-7__11-12__summer__blank__angles-and-polygons__3__angles-around-a-point,7,3,4,125,3
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,886,4,Angles on a straight line,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_4_Angles on a straight line,year-7__11-12__summer__blank__angles-and-polygons__4__angles-on-a-straight-line,7,3,4,125,4
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,887,5,Vertically opposite angles,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_5_Vertically opposite angles,year-7__11-12__summer__blank__angles-and-polygons__5__vertically-opposite-angles,7,3,4,125,5
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,888,6,Recognise and name polygons,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_6_Recognise and name polygons,year-7__11-12__summer__blank__angles-and-polygons__6__recognise-and-name-polygons,7,3,4,125,6
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,889,7,Angles in a triangle,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_7_Angles in a triangle,year-7__11-12__summer__blank__angles-and-polygons__7__angles-in-a-triangle,7,3,4,125,7
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,890,8,Angles in a quadrilateral,Updated May 2026,Updated May 2026,Year 7_11-12_Summer__Angles and polygons_8_Angles in a quadrilateral,year-7__11-12__summer__blank__angles-and-polygons__8__angles-in-a-quadrilateral,7,3,4,125,8
Year7SummerAnglesandpolygons,Year 7,11-12,Summer,,3,Angles and polygons,Angles and polygons,891,9,Solve problems with angles,"In this small step, students apply known angle facts to calculate unknown angles in a variety of contexts. At this stage, students should be confident in using all the angle facts covered so far in this block. The focus of this step is on identifying which fact to apply and justifying solutions using accurate mathematical vocabulary and notation. Encourage students to explain their thinking clearly and to check whether their answers are sensible. Model how to set up and solve equations based on different angle facts. More challenging questions may combine several angle facts, requiring a step-by- step approach to reach the solution. Calculators can be used to ensure that the focus remains on the application of the angle facts, rather than the arithmetic. Misconceptions and common errors • Students may confuse which fact or facts apply to a situation. • Students may forget that vertically opposite angles are equal and instead assume that they sum to 180° or 360°. • Students may try to measure rather than calculate angles. • Students may not show clear reasoning or may use incorrect or incomplete justification when explaining their answers. Year 7 | Summer term | Block 4 – Angles and polygons | Step 9 Mathematical talk • What do you know? What can you find out? • What information can you add to the diagram? • How do you decide which angle fact to use and apply? • Is it possible to apply more than one angle fact in this problem? • Which angle facts do you know? • Which angle facts do you think you will need to apply to this problem? • How do you know whether to use 180° or 360° in a calculation? • How can you check that your answer is sensible once you have calculated an unknown angle? National Curriculum links • Apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles • Derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons • Apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras’ theorem, and use known results to obtain simple proofs",,Year 7_11-12_Summer__Angles and polygons_9_Solve problems with angles,year-7__11-12__summer__blank__angles-and-polygons__9__solve-problems-with-angles,7,3,4,125,9
